newbies-113,443560535095640064,"<https://s.mj.run/ztoM9fCdGgY> in space with space suits , 4K . Futuristic",2023-04-10T22:58:56.692000+00:00
newbies-113,1086449333769097347,headshot of black woman with art in pixel art style --v 5,2023-04-10T23:00:37.584000+00:00
newbies-113,865419901758210078,"blue flowers in a white background, painting style, high details",2023-04-10T22:58:47.211000+00:00
newbies-113,880078776048943145,david bowie in space,2023-04-10T23:05:37.670000+00:00
newbies-113,1093810569821306970,A talking rainbow for children,2023-04-10T23:03:19.875000+00:00
newbies-113,430437638751780885,Walter from The Muppets movie having a birthday,2023-04-10T22:58:03.340000+00:00
newbies-113,1078017391059026020,"camp place, volks wagen mini van with awning, no people, string on trees, daylight, cartoon style, realistic",2023-04-10T23:00:43.719000+00:00
newbies-113,1095062049136062604,"blob:https://discord.com/8fd78325-8cfb-4942-b611-c1d26a2c2829 a woman from the back, wearing jeans and smiling, hyper realistic, 4k, high details",2023-04-10T22:58:53.299000+00:00
newbies-113,1093186390193344532,"blonde woman walking on the beach, seaguls",2023-04-10T22:57:04.416000+00:00
newbies-113,1094975981263007755,rough pencil sketch of uchiha sasuke --ar 2:3 --niji 5,2023-04-10T22:57:55.134000+00:00
newbies-113,1094241344303665222,"Mav-Man, a five year old boy, superhero, red costume, blonde hair, blue eyes, pixar style",2023-04-10T22:57:06.324000+00:00
newbies-113,931779073427009606,the first 16k tv with so many connections and wireless connectivity 120” real life,2023-04-10T23:02:17.725000+00:00
newbies-113,643979953498750986,"""Let's bring Hawaiian mythology to life in a Marvel comic book style! Generate an AI image of Hina, the Goddess of the Moon, taking a moment of peaceful contemplation at a stunning waterfall. Hina's Polynesian heritage is evident in her beautiful tan skin, and the rainbow overhead is a symbol of her divine power. With a sense of calm and serenity, Hina radiates grace and strength, captivating all who behold her in this awe-inspiring scene.""",2023-04-10T22:58:00.439000+00:00
newbies-113,700601811287146496,"book::6, red hair, freckles on the face, a smart look at camera ::1, portrait, half body, in a white shirt, thick wool sweater ::3, Kandinsky painting at background ::4, cinematic lighting, painting by Luis Royo ::3, Changing magic luminosity::2, --ar 9:16 --v 5",2023-04-10T22:57:46.533000+00:00
newbies-143,1094999057065324565,"logo for a Bitcoin exchange website based in Martinique. Using the following elements as inspiration, create a logo that represents the island's culture and identity:The silhouette of Mount Pelée, symbolizing strength and resilience.A palm leaf, representing the tropical flora of the island.A glass of rum, evoking the culture of celebration and conviviality.A hummingbird, representing the speed and agility required in the exchange of Bitcoin.The name of the website, Bitcoin.mq, in uppercase letters and a modern font.Your logo should be designed in warm, vibrant colors, incorporating a gradient that ranges from golden yellow to scarlet red, conveying energy and vitality. Consider how these elements and colors can be combined in a unique and visually striking way to create a memorable logo that reflects the culture and identity of Martinique.",2023-04-10T22:49:03.407000+00:00
newbies-143,467052828024766464,"flaneuse writer friends, spring summer, happy, serious",2023-04-10T22:50:38.563000+00:00
newbies-143,1073819505878388816,realistic photograph of brown magic mushrooms with colorful overlay,2023-04-10T22:49:09.336000+00:00
newbies-143,1091699143598162050,"double exposure photography of a smiling four-year-old girl with long curly hair and a colourful children’s swingset, clean sharp focus on white background, double exposure photography --ar 4:5",2023-04-10T22:59:50.720000+00:00
newbies-143,999409052016705678,"Product shot bottle of mezcal embedded in the earth, photography, 16k,³, High light. High detailed. Cimematic lighting. Photorealistic. Highy intricate. Ultra high. 8k . HDR --q 5 --ar 3:2 --v 5",2023-04-10T22:50:05.039000+00:00
newbies-143,1095076319416549507,2027 YAMAHA MT09 MODEL,2023-04-10T22:49:46.318000+00:00
newbies-143,400466162841944064,single idea for streetwear brand logo,2023-04-10T22:48:12.580000+00:00
newbies-173,719275798426812427,"But the evil Gaspard A very jealous old owl Learning that, he is angry Since then, every night He proclaims his wrath.",2023-04-10T22:48:53.034000+00:00
newbies-173,920931648994947142,"the ringtail, striking black and white striped tails, Grand Canyon National Park, sharp focus, cinematic shot --q 2 --v 5",2023-04-10T22:46:59.751000+00:00
newbies-173,1015811336581677226,San Francisco street. Young blonde girl skateboarding. In the style of Charles Harker.,2023-04-10T23:05:06.311000+00:00
